question,question_type,winner,strategy,expected_abstain,predicted_abstain,abstain_correct,answer,context,stale_warning,retrieval_time_sec,inference_time_sec,overall_response_time_sec
What is Ballon dOr known for in football?,person,bm25_semantic,semantic,False,False,True,The Ballon d'Or is widely regarded as football's most prestigious and valuable individual award.,"The Ballon d'Or is an annual association football award presented by French magazine France Football since 1956 to honour the player deemed to have performed the best over the previous season. Conceived by sports writers Gabriel Hanot and Jacques Ferran, the Ballon d'Or was based exclusively on voting by football journalists up until 2006. Originally, it was awarded only to players from Europe and was also known as the European Footballer of the Year award. In 1995, the Ballon d'Or was expanded to include all players of any origin that have been active at European clubs.

UEFA co-organizes the Ballon d'Or gala since 2024, with France Football retaining the voting system and the Ballon d'Or name. Lionel Messi has won the Ballon d'Or a record eight times, followed by Cristiano Ronaldo with five. Johan Cruyff, Michel Platini and Marco van Basten each won the award three times, while Alfredo Di Stéfano, Franz Beckenbauer, Kevin Keegan, Karl-Heinz Rummenigge and Ronaldo have each won it twice. Ousmane Dembélé is the current holder of the award, having won its 69th edition in 2025. The Ballon d'Or is widely regarded as football's most prestigious and valuable individual award. Prior to 2007, it was based exclusively on voting by football journalists and was generally known as the continental European Footballer of the Year award in English language and much international media.

Kylian Mbappé Lottin (born 20 December 1998) is a French professional footballer who plays as a forward for La Liga club Real Madrid and captains the France national team. He is known for his pace, dribbling, and clinical finishing, and is widely regarded as one of the best active players in the world.

Hendrik Johannes Cruijff , or Johan Cruyff , was a Dutch professional football player and manager. Regarded as one of the greatest players in history and as the greatest Dutch footballer ever, he won the Ballon d'Or three times, in 1971, 1973, and 1974.",True,0.05085543699999562,0.6950384360000044,0.745893873
What is Ballon dOr known for in football?,person,hybrid_fixed,fixed,False,False,True,The Ballon d'Or is known for honouring the player deemed to have performed the best over the previous season in football.,"The Ballon d'Or is an annual association football award presented by French magazine France Football since 1956 to honour the player deemed to have performed the best over the previous season.
Conceived by sports writers Gabriel Hanot and Jacques Ferran, the Ballon d'Or was based exclusively on voting by football journalists up until 2006. Originally, it was awarded only to players from Europe and was also known as the European Footballer of the Year award. In 1995, the Ballon d'Or was expanded to include all players of any origin that have been active at European clubs. The award became a global prize in 2007 with all professional footballers from around the world being eligible; additionally, coaches and captains of national teams were also given the right to vote, before reverting to just journalists in 2016.

Lewandowski is an accurate penalty taker and has repeatedly shown coolness and composure on the spot; he is also capable of scoring from long range, and has been known to take free kicks. In addition to his playing ability, Lewandowski has also been praised for his outstanding work-ethic, fitness, mentality, and discipline, both on the pitch and in training, by pundits, players and managers; his disciplined approach to training and fitness has led to him being nicknamed ""The Body"".

Hendrik Johannes Cruijff , or Johan Cruyff , was a Dutch professional football player and manager. Regarded as one of the greatest players in history and as the greatest Dutch footballer ever, he won the Ballon d'Or three times, in 1971, 1973, and 1974. Cruyff was a proponent of the football philosophy known as Total Football developed by Rinus Michels, which Cruyff also employed as a manager. Because of the far-reaching impact of his playing style and his coaching ideas, he is widely regarded as one of the most influential figures in modern football, and he is also regarded as one of the greatest managers of all time.

Kylian Mbappé Lottin (born 20 December 1998) is a French professional footballer who plays as a forward for La Liga club Real Madrid and captains the France national team. He is known for his pace, dribbling, and clinical finishing, and is widely regarded as one of the best active players in the world.",True,10.72860308099996,0.18358578200002285,10.912188862999983
Give a brief overview of Atletico Madrid in football.,general,bm25_semantic,semantic,False,False,True,Atlético Madrid is a Spanish professional football club based in Madrid that plays in La Liga and has a long-standing rivalry with their city neighbours Real Madrid.,"Atlético are one of the most successful Spanish clubs, having won 11 La Liga titles, including a league and cup double in 1996. Further domestic trophies include 10 Copa del Rey titles, two Supercopas de España, one Copa Presidente FEF and one Copa Eva Duarte. They have also won numerous titles in Europe, including the European Cup Winners' Cup in 1962, the UEFA Europa League in 2010, 2012 and 2018, and the UEFA Super Cup in 2010, 2012 and 2018, in addition to the 1974 Intercontinental Cup. In the UEFA Champions League, Atlético reached the final in 1974, 2014 and 2016. They sustain a standing rivalry with Madrid neighbours Real Madrid, with whom they contest the Madrid derby. The club was founded on 26 April 1903 as Athletic Club Sucursal de Madrid by three Basque students living in Madrid. These founders saw the new club as a youth branch of their childhood team, Athletic Bilbao who they had just seen win the 1903 Copa del Rey Final in the city.

Club Atlético de Madrid, S.A.D. , commonly referred to as Atlético Madrid or simply Atlético and colloquially as Atleti, is a Spanish professional football club based in Madrid that plays in La Liga. The club play their home games at the Riyadh Air Metropolitano, which has a capacity of 70,692.

A high point came in the 2002–03 season, when Real clinched the La Liga title after a 4–0 victory at the Vicente Calderón. Atlético's first win over its city rivals since 1999 came in the Copa del Rey final in May 2013. In 2013–14, Real and Atlético were finalists of the UEFA Champions League, the first final which hosted two clubs from the same city. Real Madrid triumphed with a 4–1 comeback victory in extra time. On 7 February 2015, Real suffered their first defeat in 14 years at the Vicente Calderón, a 4–0 loss. On 28 May 2016, Real and Atlético again met for the Champions League title, which resulted in a win for Real after a penalty shootout at San Siro. A further minor rivalry exists between Real Madrid and Athletic Bilbao. This is known as El Viejo Clásico (the old classic), so named as the two clubs were dominant in the first half of the 20th century, meeting in nine Copa del Rey finals including the first in 1903.",False,0.05575581499999771,0.40496684300001107,0.4607226580000088
Give a brief overview of Atletico Madrid in football.,general,hybrid_fixed,fixed,False,False,True,"Atlético Madrid is one of the most successful Spanish clubs, having won numerous domestic and European titles, including 11 La Liga titles and the UEFA Europa League in 2010, 2012, and 2018.","Atlético are one of the most successful Spanish clubs, having won 11 La Liga titles, including a league and cup double in 1996. Further domestic trophies include 10 Copa del Rey titles, two Supercopas de España, one Copa Presidente FEF and one Copa Eva Duarte. They have also won numerous titles in Europe, including the European Cup Winners' Cup in 1962, the UEFA Europa League in 2010, 2012 and 2018, and the UEFA Super Cup in 2010, 2012 and 2018, in addition to the 1974 Intercontinental Cup. In the UEFA Champions League, Atlético reached the final in 1974, 2014 and 2016. They sustain a standing rivalry with Madrid neighbours Real Madrid, with whom they contest the Madrid derby.

Real Madrid and Atlético Madrid are clubs with contrasting identities and different fates. While Real Madrid's Santiago Bernabéu proudly rises on the Paseo de la Castellana in the wealthy Chamartín neighbourhood of northern Madrid, Atlético's former stadium, the less glamorous Vicente Calderón, stood in the central-south of Madrid 1.8 km from the city center in the working class barrio of Arganzuela. Historically, Real Madrid have long been seen as the establishment club. On the other side, Atlético Madrid were always characterized by a sentimiento de rebeldía, a sense of rebellion. They were associated with the military airforce , until the regime's preferences moved towards Real Madrid in the 1950s.

Frente Atlético is an ultra group of Club Atlético de Madrid founded with that name in 1982. They had around 2,500 members in 2014, one of the largest ultra groups in Spanish football. That same year, Atlético Madrid expelled Frente Atlético and prohibited the display of its symbols in the stadium.
FA are friends with Ruch Chorzow, Roma, Fortuna Düsseldorf, Catanzaro and Sporting Gijón.
They also have a great rivalry with the ultras of Real Madrid, Sevilla, Espanyol, Valencia, Rayo Vallecano, Deportivo, Celta, Real Sociedad, Athletic, Osasuna, Alavés, Zaragoza, Malaga, Valladolid, Oviedo, Porto, Sporting Lisbon, Benfica, Lazio and Marseille. They also have bad relations and constant incidents with a former section of the group called Suburbios Firm.",False,0.7699837100000195,0.1577733960000387,0.9277571060000582
Which club signed Jude Bellingham in summer 2027?,unanswerable,bm25_semantic,semantic,True,True,True,I don't know.,"Bellingham represented England at under-15, under-16, under-17 and under-21 levels. He made his first appearance for the senior team in November 2020, and represented the country at UEFA Euro 2020 and 2024 as well as the 2022 FIFA World Cup. Jude Victor William Bellingham was born on 29 June 2003 in Stourbridge, in the Metropolitan Borough of Dudley, West Midlands, the eldest son of Denise and Mark Bellingham.

Jude Victor William Bellingham (born 29 June 2003) is an English professional footballer who plays as a midfielder for La Liga club Real Madrid and the England national team. Known for his exceptional work rate, playmaking ability, interceptions and fast dribbling, he is widely regarded as one of the best players in the world.

Bellingham joined Birmingham City as an under-8, became the club's youngest first-team player when he made his senior debut in August 2019, at the age of 16 years, 38 days, and played regularly during the 2019–20 season. He joined Borussia Dortmund in July 2020, and in his first appearance became the club's youngest goal-scorer. Over three seasons with the club he made 132 appearances and won the 2020–21 DFB-Pokal; his performances in the 2022–23 season helped Dortmund finish as runners-up and earned him the Bundesliga Player of the Season award. Later that year he won both major awards for male footballers aged under 21: the European Golden Boy and the worldwide Kopa Trophy.

He was part of the first-team training camp in Portugal, played and scored in pre-season friendlies, and was given squad number 22 for the 2019–20 season. On 6 August, when he started the EFL Cup first round visit to Portsmouth, Bellingham became the youngest first-team player in Birmingham City's history.",True,0.04952367400005642,0.1713921110000456,0.220915785000102
Which club signed Jude Bellingham in summer 2027?,unanswerable,hybrid_fixed,fixed,True,True,True,I don't know.,"Jude Victor William Bellingham (born 29 June 2003) is an English professional footballer who plays as a midfielder for La Liga club Real Madrid and the England national team. Known for his exceptional work rate, playmaking ability, interceptions and fast dribbling, he is widely regarded as one of the best players in the world.

It was clear that Bellingham would leave Birmingham, and it was reported that he and his father had visited several major clubs, of which Manchester United and Bundesliga club Borussia Dortmund were the favourites. Impressed by Dortmund's record of including young players as regulars in the first team, as evidenced by the likes of Jadon Sancho, Bellingham reportedly settled on the club as his destination of choice. He flew to Germany for a medical, and the transfer was confirmed on 20 July 2020. Bellingham was to join after Birmingham's last match of the season. The undisclosed fee was understood by Sky Sports to be an initial £25 million – making him the most expensive 17-year-old in history – plus ""several million more"" dependent on performance-related criteria.

In July 2025, he was revealed as one of the cover stars for EA Sports FC 26 along with Jamal Musiala and Zlatan Ibrahimović for the second time. In September 2025, he was announced as Laureus ambassador. In November 2025, Bellingham launched his own app, ""JB5"".

He then signed for Real Madrid for a fee of €103 million. In his first season, Bellingham was the club's top league scorer, helped them win the league title and the Champions League, and was voted La Liga Player of the Season. He was included in the FIFPRO World 11 for three consecutive years (2023, 2024, 2025) and finished third in the Ballon d'Or and FIFA The Best in 2024.
Bellingham represented England at under-15, under-16, under-17 and under-21 levels. He made his first appearance for the senior team in November 2020, and represented the country at UEFA Euro 2020 and 2024 as well as the 2022 FIFA World Cup.",True,0.766390036999951,0.3447382710000966,1.1111283080000476
How many goals did Ronaldo (the Brazilian) score across all World Cup tournaments?,person,bm25_semantic,semantic,True,False,False,Ronaldo finished with fifteen goals in nineteen World Cup matches.,"Having been listed in Guinness World Records, Ronaldo stated, ""I am proud of my career and of the records I set. But I know that one day they will be broken."" Ronaldo and Klinsmann's shared record of at least three goals in three separate World Cup finals was broken by German striker Miroslav Klose, who has a record of at least four goals in each of three tournaments, having netted five at both the 2002 and 2006 finals, and four at the 2010 tournament. Ronaldo finished with fifteen goals in nineteen World Cup matches, for an average of 0.79 per game. His teammate Kaká reflected, ""Ronaldo is the best player I have ever played with. I have seen il Fenomeno do things nobody else has ever done.""

In February 2011, it was announced that Ronaldo would be given one last match for Brazil, a friendly against Romania in São Paulo on 7 June 2011, five years after his last match with the national team.

Ronaldo joined Real Madrid in 2002 and won the 2002–03 La Liga title. He had spells at AC Milan and Corinthians before retiring in 2011, having suffered further injuries. Ronaldo played for Brazil in 98 matches, scoring 62 goals and is the third-highest goalscorer for his national team. At age 17, he was the youngest member of the Brazilian squad that won the 1994 FIFA World Cup. At the 1998 FIFA World Cup, Ronaldo received the Golden Ball as the player of the tournament after he helped Brazil reach the final, where he suffered a convulsive fit hours before kick-off. He won the 2002 FIFA World Cup, starring in a front three with Ronaldinho and Rivaldo. Ronaldo scored twice in the final and received the Golden Boot as the tournament's top goalscorer.",False,0.04919180900003539,0.24922531000004255,0.29841711900007795
How many goals did Ronaldo (the Brazilian) score across all World Cup tournaments?,person,hybrid_fixed,fixed,True,False,False,Ronaldo finished with fifteen goals in nineteen World Cup matches.,"Having been listed in Guinness World Records, Ronaldo stated, ""I am proud of my career and of the records I set. But I know that one day they will be broken."" Ronaldo and Klinsmann's shared record of at least three goals in three separate World Cup finals was broken by German striker Miroslav Klose, who has a record of at least four goals in each of three tournaments, having netted five at both the 2002 and 2006 finals, and four at the 2010 tournament. Ronaldo finished with fifteen goals in nineteen World Cup matches, for an average of 0.79 per game. His teammate Kaká reflected, ""Ronaldo is the best player I have ever played with. I have seen il Fenomeno do things nobody else has ever done.""

In his international career with Brazil, Ronaldinho earned 97 caps, scored 33 goals, and represented them in two FIFA World Cups. After debuting with the Seleção by winning the 1999 Copa América, he was an integral player in the 2002 World Cup winning team, positioned alongside Ronaldo and Rivaldo in an attacking trio, and was named in the World Cup All-Star Team. He captained his team to the 2005 FIFA Confederations Cup title and was named man of the match in the final. He also captained the Brazil Olympic team to a bronze medal in men's football at the 2008 Summer Olympics.

Ronaldo made his international debut for Portugal in 2003 at the age of 18 and has earned more than 200 caps, making him history's most-capped male player. He has played in eleven major tournaments. He scored his first international goal in Euro 2004, where he helped Portugal reach the final and subsequently made the team of the tournament. He assumed captaincy of the national team ahead of Euro 2008; and at Euro 2012, he was named in the team of the tournament. Ronaldo led Portugal to their first major tournament title at Euro 2016, being named in the team of the tournament for the third time. In the 2018 World Cup, he had his most prolific World Cup campaign with four goals. He received the Golden Boot as the top scorer of Euro 2020 before playing in his fifth World Cup at the 2022 World Cup. He has won two UEFA Nations Leagues, in 2019 and 2025.",False,0.8087057420000292,0.12044184299998051,0.9291475850000097
England national football team represents which nation?,country-team,bm25_semantic,semantic,False,False,True,England national football team represents England.,"The England national football team have represented England in men's international football since the first international match in 1872. It is controlled by the Football Association (FA), the governing body for football in England, which is affiliated with UEFA and comes under the global jurisdiction of world football's governing body FIFA. England competes in the three major international tournaments contested by European nations: the FIFA World Cup, UEFA European Championship and UEFA Nations League. England are the joint oldest national team in football having played in the world's first international football match in 1872, against Scotland. England's home ground is Wembley Stadium, London, and their training headquarters is at St George's Park, Burton upon Trent.

Thomas Tuchel is the current head coach. England won the 1966 FIFA World Cup final on home soil, making them one of eight nations to have won the World Cup. They have qualified for the World Cup sixteen times, with fourth place finishes in the 1990 and 2018 editions. England have never won the European Championship, with their best performances to date being runners-up finishes in 2020 and 2024. As a constituent country of the United Kingdom, England are not a member of the International Olympic Committee (as English athletes compete for Great Britain), and so do not compete at the Olympic Games. England are the only team to have won the World Cup at senior level but not their major continental title, and the only team representing a non-sovereign country to have won the World Cup. The England men's national football team is the joint-oldest in the world; it was formed at the same time as Scotland.",False,0.05055667099998118,0.09393550400000095,0.14449217499998213
England national football team represents which nation?,country-team,hybrid_fixed,fixed,False,False,True,England national football team represents England.,"The England national football team have represented England in men's international football since the first international match in 1872. It is controlled by the Football Association (FA), the governing body for football in England, which is affiliated with UEFA and comes under the global jurisdiction of world football's governing body FIFA. England competes in the three major international tournaments contested by European nations: the FIFA World Cup, UEFA European Championship and UEFA Nations League.
England are the joint oldest national team in football having played in the world's first international football match in 1872, against Scotland. England's home ground is Wembley Stadium, London, and their training headquarters is at St George's Park, Burton upon Trent. Thomas Tuchel is the current head coach.

England won the 1966 FIFA World Cup final on home soil, making them one of eight nations to have won the World Cup. They have qualified for the World Cup sixteen times, with fourth place finishes in the 1990 and 2018 editions. England have never won the European Championship, with their best performances to date being runners-up finishes in 2020 and 2024. As a constituent country of the United Kingdom, England are not a member of the International Olympic Committee (as English athletes compete for Great Britain), and so do not compete at the Olympic Games. England are the only team to have won the World Cup at senior level but not their major continental title, and the only team representing a non-sovereign country to have won the World Cup.

The motif of the England national football team has three lions passant guardant, the emblem of King Richard I, who reigned from 1189 to 1199. In 1872, English players wore white jerseys emblazoned with the three lions crest of the Football Association. The lions, often blue, have had minor changes to colour and appearance. Initially topped by a crown, this was removed in 1949 when the FA was given an official coat of arms by the College of Arms; this introduced ten Tudor roses, one for each of the regional branches of the FA. Since 2003, England top their logo with a star to recognise their World Cup win in 1966; this was first embroidered onto the left sleeve of the home kit, and a year later was moved to its current position, first on the away shirt.",False,0.7023412459999463,0.1074971429999323,0.8098383889998786
