question,expected_abstain,question_type,answer_bm25_semantic,stale_warning_bm25_semantic,ret_time_bm25_semantic,inf_time_bm25_semantic,total_time_bm25_semantic,abstain_correct_bm25_semantic,answer_hybrid_fixed,stale_warning_hybrid_fixed,ret_time_hybrid_fixed,inf_time_hybrid_fixed,total_time_hybrid_fixed,abstain_correct_hybrid_fixed
What is Ballon dOr known for in football?,False,person,The Ballon d'Or is widely regarded as football's most prestigious and valuable individual award.,True,0.05085543699999562,0.6950384360000044,0.745893873,True,The Ballon d'Or is known for honouring the player deemed to have performed the best over the previous season in football.,True,10.72860308099996,0.18358578200002285,10.912188862999983,True
Give a brief overview of Atletico Madrid in football.,False,general,Atlético Madrid is a Spanish professional football club based in Madrid that plays in La Liga and has a long-standing rivalry with their city neighbours Real Madrid.,False,0.05575581499999771,0.40496684300001107,0.4607226580000088,True,"Atlético Madrid is one of the most successful Spanish clubs, having won numerous domestic and European titles, including 11 La Liga titles and the UEFA Europa League in 2010, 2012, and 2018.",False,0.7699837100000195,0.1577733960000387,0.9277571060000582,True
Which club signed Jude Bellingham in summer 2027?,True,unanswerable,I don't know.,True,0.04952367400005642,0.1713921110000456,0.220915785000102,True,I don't know.,True,0.766390036999951,0.3447382710000966,1.1111283080000476,True
How many goals did Ronaldo (the Brazilian) score across all World Cup tournaments?,True,person,Ronaldo finished with fifteen goals in nineteen World Cup matches.,False,0.04919180900003539,0.24922531000004255,0.29841711900007795,False,Ronaldo finished with fifteen goals in nineteen World Cup matches.,False,0.8087057420000292,0.12044184299998051,0.9291475850000097,False
England national football team represents which nation?,False,country-team,England national football team represents England.,False,0.05055667099998118,0.09393550400000095,0.14449217499998213,True,England national football team represents England.,False,0.7023412459999463,0.1074971429999323,0.8098383889998786,True
What is Chelsea FC known for in club football?,False,club,"Chelsea FC is known for being one of the most successful clubs in English football history, having won numerous domestic and international titles, including six top-flight league titles, eight FA Cups, and two UEFA Champions Leagues.",True,0.04879895299995951,0.12531933700006448,0.174118290000024,True,"Chelsea FC is known for being one of the most successful clubs in English football history, having won numerous domestic and international titles.",True,0.7228542450000077,4.185823313000014,4.908677558000022,True
How many UEFA Champions League titles has Real Madrid won?,True,club,Real Madrid has won a record 15 European Cup/UEFA Champions League titles.,False,0.050183534999973745,7.205304579999961,7.255488114999935,False,Real Madrid has won a record 15 UEFA Champions League titles.,False,0.7569451780000236,3.1272279250000565,3.88417310300008,False
What type of tournament is FA Cup?,False,competition,The FA Cup is a knockout tournament.,False,0.05334906799998862,4.185064324999985,4.238413392999973,True,The FA Cup is a knockout tournament.,False,0.7224982620000446,6.426207980999948,7.148706242999992,True
Which club has more Champions League titles — AC Milan or Liverpool?,True,club,AC Milan has won seven European Cup/Champions League titles.,False,0.050916354000037245,3.1574586400000726,3.20837499400011,False,AC Milan has more Champions League titles than Liverpool.,False,0.7566442280000274,5.1760030839999445,5.932647311999972,False
Give a brief overview of FIFA in football.,False,general,FIFA is a sports governing body that organizes soccer events all over the world.,False,0.05255895300001612,6.209748496000088,6.2623074490001045,True,FIFA is a sports governing body that organizes soccer events all over the world.,False,0.7667758500000446,4.354543492999937,5.121319342999982,True
Give a brief football profile of FC Barcelona.,False,person,"FC Barcelona is a professional football club based in Barcelona, Catalonia, Spain, that competes in La Liga, the top flight of Spanish football.",False,0.05007176900005561,3.3177379220001058,3.3678096910001614,True,"FC Barcelona is a professional football club based in Barcelona, Catalonia, Spain, that competes in La Liga, the top flight of Spanish football.",False,0.7357368449999058,4.336544334999985,5.072281179999891,True
Which rule change did VAR introduce to how offside decisions are made?,True,general,"VAR introduced the rule change that requires assistant referees to avoid raising the flag for an offside decision until the play proceeds to a natural conclusion, unless the offside is extremely obvious.",False,0.050046800000018266,5.252773355000045,5.302820155000063,False,I don't know.,False,0.7507283630000074,5.293303498,6.044031861000008,True
Give a brief overview of Copa del Rey in football.,False,general,"The Copa del Rey is an annual knockout football competition in Spanish football, organized by the Royal Spanish Football Federation.",False,0.0509308420000707,5.541534505000072,5.592465347000143,True,The Copa del Rey was effectively Spain's national football championship from 1903 until the foundation of the Campeonato de Liga—League Championship (La Liga)—in 1928.,False,0.9960987900000191,4.205310925999925,5.201409715999944,True
What is Cristiano Ronaldo known for in football?,False,person,Cristiano Ronaldo is widely regarded as one of the greatest players in football history.,True,0.0509405699999661,5.591058307000026,5.641998876999992,True,"Cristiano Ronaldo is known for being a prolific goalscorer, a skilled dribbler, and a technically gifted player who can use both feet and provide assists for his teammates.",True,0.7643167850000054,5.239193406000027,6.003510191000032,True
What is FC Barcelona known for in football?,False,person,"FC Barcelona is known for being one of the world's most decorated clubs, having won a record 81 domestic trophies and 22 international titles.",True,0.049501819999932195,5.22255192099999,5.272053740999922,True,"FC Barcelona is known for being one of the world's most decorated clubs, having won a record 81 trophies domestically and 22 European and worldwide titles in international club football.",True,0.743739440000013,5.272800203999964,6.016539643999977,True
"In football, how would you describe Borussia Dortmund?",False,club,"Borussia Dortmund is a German professional sports club based in Dortmund, North Rhine-Westphalia.",False,0.05456492899998011,6.267899905000036,6.322464834000016,True,"Borussia Dortmund is a German professional sports club based in Dortmund, North Rhine-Westphalia.",False,0.736228464000078,5.172901283999977,5.909129748000055,True
What type of tournament is Bundesliga?,False,competition,The Bundesliga is a professional association football league.,False,0.050845855000034135,5.157797579999965,5.208643434999999,True,The Bundesliga is a professional association football league.,False,0.8712628600000016,5.250845578000053,6.122108438000055,True
What was the exact xG of the 2024 Champions League final?,True,unanswerable,I don't know.,False,0.05325308499993753,7.433087952000051,7.486341036999988,True,I don't know.,False,0.8532766549999451,6.455027307000023,7.308303961999968,True
What is FC Porto known for in club football?,False,club,"FC Porto is known for being the second most decorated club in Portuguese football, with 86 major trophies.",True,0.04824180700006764,4.160579648999942,4.20882145600001,True,"FC Porto is known for being the most decorated Portuguese team in international competitions, with seven trophies.",True,0.8515432820000797,6.448295120000012,7.299838402000091,True
