question,relevant_chunk_ids,question_type,expect_abstain,source
What is Ballon dOr known for in football?,"['fixed_Ballon_dOr_0', 'recursive_Ballon_dOr_0', 'semantic_Ballon_dOr_0']",person,False,auto
Give a brief overview of Atletico Madrid in football.,"['fixed_Atletico_Madrid_0', 'recursive_Atletico_Madrid_0', 'semantic_Atletico_Madrid_0']",general,False,auto
Which club signed Jude Bellingham in summer 2027?,[],unanswerable,True,manual
How many goals did Ronaldo (the Brazilian) score across all World Cup tournaments?,[],person,False,gold
England national football team represents which nation?,"['fixed_England_national_football_team_0', 'recursive_England_national_football_team_0', 'semantic_England_national_football_team_0']",country-team,False,auto
What is Chelsea FC known for in club football?,"['fixed_Chelsea_FC_0', 'recursive_Chelsea_FC_0', 'semantic_Chelsea_FC_0']",club,False,auto
How many UEFA Champions League titles has Real Madrid won?,[],club,False,gold
What type of tournament is FA Cup?,"['fixed_FA_Cup_0', 'recursive_FA_Cup_0', 'semantic_FA_Cup_0']",competition,False,auto
Which club has more Champions League titles — AC Milan or Liverpool?,[],club,False,gold
Give a brief overview of FIFA in football.,"['fixed_FIFA_0', 'recursive_FIFA_0', 'semantic_FIFA_0']",general,False,auto
Give a brief football profile of FC Barcelona.,"['fixed_FC_Barcelona_0', 'recursive_FC_Barcelona_0', 'semantic_FC_Barcelona_0']",person,False,auto
Which rule change did VAR introduce to how offside decisions are made?,[],general,False,gold
Give a brief overview of Copa del Rey in football.,"['fixed_Copa_del_Rey_0', 'recursive_Copa_del_Rey_0', 'semantic_Copa_del_Rey_0']",general,False,auto
What is Cristiano Ronaldo known for in football?,"['fixed_Cristiano_Ronaldo_0', 'recursive_Cristiano_Ronaldo_0', 'semantic_Cristiano_Ronaldo_0']",person,False,auto
What is FC Barcelona known for in football?,"['fixed_FC_Barcelona_0', 'recursive_FC_Barcelona_0', 'semantic_FC_Barcelona_0']",person,False,auto
"In football, how would you describe Borussia Dortmund?","['fixed_Borussia_Dortmund_0', 'recursive_Borussia_Dortmund_0', 'semantic_Borussia_Dortmund_0']",club,False,auto
What type of tournament is Bundesliga?,"['fixed_Bundesliga_0', 'recursive_Bundesliga_0', 'semantic_Bundesliga_0']",competition,False,auto
What was the exact xG of the 2024 Champions League final?,[],unanswerable,True,manual
What is FC Porto known for in club football?,"['fixed_FC_Porto_0', 'recursive_FC_Porto_0', 'semantic_FC_Porto_0']",club,False,auto
"In international football, what country is Argentina national football team associated with?","['fixed_Argentina_national_football_team_0', 'recursive_Argentina_national_football_team_0', 'semantic_Argentina_national_football_team_0']",country-team,False,auto
