question,question_type,winner,n_claims,supported_claims,faithfulness_score,alt_questions,alt_similarities,avg_relevancy_score
What is Ballon dOr known for in football?,person,hybrid_fixed,3,3,1.0,"[""What award is given to the best football player of the previous season?"", ""What is the name of the award that recognizes the best football player of the year?"", ""Which award is given annually to the best football player of the previous season?""]","[0.6097586154937744, 0.6281615495681763, 0.6164668798446655]",0.6181290149688721
Give a brief overview of Atletico Madrid in football.,general,hybrid_fixed,4,4,1.0,"[""What are some of the notable achievements of Atlético Madrid?"", ""How many La Liga titles has Atlético Madrid won?"", ""What European titles has Atlético Madrid won in the 2010s?""]","[0.8098483681678772, 0.7380644083023071, 0.7101277112960815]",0.7526801625887553
How many goals did Ronaldo (the Brazilian) score across all World Cup tournaments?,person,hybrid_fixed,2,1,0.5,"[""How many goals did Ronaldo score in the World Cup?"", ""What was Ronaldo's goal tally in the World Cup?"", ""How many World Cup matches did Ronaldo participate in?""]","[0.9242832064628601, 0.8680337071418762, 0.8704941272735596]",0.8876036802927653
England national football team represents which nation?,country-team,hybrid_fixed,2,2,1.0,"[""Who represents England in international football?"", ""What team represents England in football?"", ""Which national team represents England in football?""]","[0.9187762141227722, 0.938744843006134, 0.9708600640296936]",0.9427937070528666
What is Chelsea FC known for in club football?,club,hybrid_fixed,3,3,1.0,"[""What are some of the notable achievements of Chelsea FC?"", ""Can you name some of the international titles won by Chelsea FC?"", ""What is Chelsea FC's reputation in the English football league?""]","[0.8618246912956238, 0.7771227955818176, 0.8593618869781494]",0.8327697912851969
How many UEFA Champions League titles has Real Madrid won?,club,hybrid_fixed,2,2,1.0,"[""Which team holds the record for the most UEFA Champions League titles?"", ""How many UEFA Champions League titles has Real Madrid won?"", ""What is the record for the most UEFA Champions League titles won by a team?""]","[0.8226901292800903, 1.0, 0.8480900526046753]",0.8902600606282552
What type of tournament is FA Cup?,competition,hybrid_fixed,1,1,1.0,"[""What type of tournament is the FA Cup?"", ""How does the FA Cup competition work?"", ""What is the format of the FA Cup?""]","[0.9978687167167664, 0.8085297346115112, 0.8707736730575562]",0.8923907081286112
Which club has more Champions League titles — AC Milan or Liverpool?,club,hybrid_fixed,1,0,0.0,"[""Which team has more Champions League titles, AC Milan or Liverpool?"", ""How many Champions League titles does AC Milan have compared to Liverpool?"", ""Does AC Milan have a higher number of Champions League titles than Liverpool?""]","[0.9880509972572327, 0.9396389722824097, 0.9325499534606934]",0.9534133076667786
Give a brief overview of FIFA in football.,general,hybrid_fixed,3,3,1.0,"[""What is the main function of FIFA in the soccer world?"", ""Which organization is responsible for organizing soccer events globally?"", ""What does FIFA primarily focus on in the sports industry?""]","[0.8138973712921143, 0.6468537449836731, 0.8427744507789612]",0.7678418556849161
Give a brief football profile of FC Barcelona.,person,hybrid_fixed,6,6,1.0,"[""What is the name of the football club based in Barcelona, Spain?"", ""Which football club competes in La Liga?"", ""What is the top flight of Spanish football that FC Barcelona competes in?""]","[0.7788770198822021, 0.6938523054122925, 0.75465989112854]",0.7424630721410116
